Fiscal Year,Company Name,Company Address,Municipality,County 1,State,Zip Code,Business Industry,NAICS Code,Minority/ Woman/ Veteran/ International Export,Contract Execution Date,Grant Amount,Loan Amount,Total Assistance ,Total Project Cost,Amount Leveraged,Funding Source,Statutory Reference,Per Contract: Full-Time CT Jobs to be Retained,Per Contract: Full-Time CT Jobs to be Created,Per Contract: Part-Time CT Jobs to be Retained,Per Contract: Part-Time CT Jobs to be Created,Actual Jobs at Time of Review,Job Obligation Status,Penalty (if applicable),Forgiveness Earned (if applicable),Per Application: Existing Full-Time Jobs in CT,Per Application: Full-Time Jobs to be Created in CT,Per Application: Existing Part-Time Jobs in CT,Per Application: Part Time Jobs to be Created in CT,Full-Time CT Employment at 6/30/20,Part-Time CT Employment at 6/30/20,Status,Location 1,Count,Geocoded Location,Planning Regions,Counties,Zip Code 2,Town Index
2014,"71 Pine Street Cleaners, Inc. dba New Canaan Cleaners",71 Pine Street,New Canaan,Fairfield,CT,06840,Dry Cleaning and Laundry Service,812320,No,12/02/2013,72000.00,0.00,72000.00,144000.00,72000.00,Small Business Express Program,CGS Sec. 32-7g,21,4,0,0,27,Met,n/a,n/a,4,2,0,0,,,Active,71 Pine Street,1,"71 Pine Street
New Canaan, CT 06840
(41.144354, -73.497553)",9,1040,180,90
2014,"Sirois Tool Company, Inc.",169 White Oak Drive,Berlin,Hartford,CT,06037,Manufacturing,333999,Yes Veteran/International Export,06/04/2014,100000.00,0.00,100000.00,419735.00,319735.00,Small Business Express Program,CGS Sec. 32-7g,44,5,0,0,49,Met,n/a,n/a,44,5,0,0,,,Compliance Complete,169 White Oak Drive,1,"169 White Oak Drive
Berlin, CT 06037
(41.640328, -72.727335)",1,1041,253,7
2012,"Interpro, LLC",630 Industrial Park Road,Deep River,Middlesex,CT,06417,Manufacturing,332997,No,06/26/2012,100000.00,125000.00,225000.00,325000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,8,4,0,0,12,Met,n/a,"$   62,500",8,9,0,0,,,Active,630 Industrial Park Road,1,"630 Industrial Park Road
Deep River, CT 06417
(41.36357, -72.467426)",3,1043,272,36
2016,"J & J Precision Eyelet, Inc.",116 Waterbury Road,Thomaston,Litchfield,CT,06787,Manufacturing,332119,No,05/26/2016,0.00,300000.00,300000.00,350000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,53,4,0,0,Pending,Pending,n/a,n/a,0,4,0,0,,,Compliance Complete,116 Waterbury Road,1,"116 Waterbury Road
Thomaston, CT 06787
(41.657983, -73.08017)",4,1042,266,140
2017,"Vito's By the Park, LLC",26 Trumbull Street,Hartford,Hartford,CT,06106,Restaurant,722511,No,10/14/2016,100000.00,200000.00,300000.00,1110960.00,810960.00,Small Business Express Program,CGS Sec. 32-7g,20,5,0,0,Pending,Pending,n/a,n/a,20,5,10,0,,,Active,26 Trumbull Street,1,"26 Trumbull Street
Hartford, CT 06106
(41.764983, -72.676012)",1,1041,82,64
2015,"DeYulio Sausage Company, LLC",161 Myrtle Avenue,Stamford,Fairfield,CT,06902,Manufacturing,311612,No,08/21/2014,100000.00,0.00,100000.00,2391070.00,2291070.00,Small Business Express Program,CGS Sec. 32-7g,15,5,0,0,20,met,OOB,OOB,18,5,0,0,,,Out of Business- written off,161 Myrtle Avenue,1,"161 Myrtle Avenue
Stamford, CT 06902
(41.051189, -73.527187)",9,1040,7,135
2017,"Northeast Produce, Inc.",10 Robert Jackson Way,Plainville,Hartford,CT,06062,Wholesale Produce,424480,Yes Woman,09/28/2016,100000.00,300000.00,400000.00,1603638.00,1203638.00,Small Business Express Program,CGS Sec. 32-7g,80,6,0,0,101,Met,n/a,n/a,80,6,0,0,,,Active,10 Robert Jackson Way,1,"10 Robert Jackson Way
Plainville, CT 06062
(41.650317, -72.877644)",1,1041,260,110
2017,"David M. Fantarella DMD, PC",127 Washington Avenue,North Haven,New Haven,CT,06473,Dentistry,621210,No,05/12/2017,100000.00,0.00,100000.00,201000.00,101000.00,Small Business Express Program,CGS Sec. 32-7g,9,5,0,0,Pending,Pending,n/a,n/a,9,5,10,0,21,11,Compliance Complete,127 Washington Avenue,1,"127 Washington Avenue
North Haven, CT 06473
(41.395845, -72.855486)",7,1044,168,101
2014,"Kristen-James, LLC",2350 Chamberlain Highway,Kensington,Hartford,CT,06037,Real Estate Management,531390,No,12/19/2013,0.00,65000.00,65000.00,157400.00,92400.00,Small Business Express Program,CGS Sec. 32-7g,1,2,0,0,Pending,Pending,n/a,n/a,1,2,0,0,,,Active,2350 Chamberlain Highway,1,"2350 Chamberlain Highway
Kensington, CT 06037
(41.574471, -72.807929)",1,1041,253,7
2019,"SolView Systems CT, LLC","1313 North Market Street, Suite 5100",Wilmington,,DE,19801,Clean Technology,423690,No,08/20/2018,75000.00,165000.00,240000.00,398500.00,158500.00,Small Business Express Program,CGS Sec. 32-7g,0,3,0,0,Pending,Pending,n/a,n/a,0,5,0,0,,,Active,"1313 North Market Street, Suite 5100",1,"1313 North Market Street, Suite 5100
Wilmington, DE 19801
(39.748711, -75.545669)",,1047,,
2016,"Lovely Cakes, LLC",195 Charles Street,Stratford,Fairfield,CT,06615,Baked Goods Store,445291,Yes Woman,05/18/2016,12000.00,0.00,12000.00,201400.00,189400.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,Pending,Pending,n/a,n/a,0,1,0,0,,,Compliance Complete,195 Charles Street,1,"195 Charles Street
Stratford, CT 06615
(41.176566, -73.151833)",2,1040,178,138
2018,"Current Staffing Solutions, LLC",144 Munn Road,Southbury,New Haven,CT,06488,Staffing,561310,Yes Minority,12/21/2017,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,0,5,0,0,Pending,Pending,n/a,n/a,0,5,0,0,,,Active,144 Munn Road,1,"144 Munn Road
Southbury, CT 06488
(41.470318, -73.169686)",4,1044,99,130
2017,"Aristeia Capital, LLC",One Greenwich Plaza,Greenwich,Fairfield,CT,06830,Manufacturing,523110,No,07/13/2016,0.00,1500000.00,1500000.00,4275000.00,2775000.00,Manufacturing Assistance Act,CH 588l,0,24,0,0,24,Met,n/a,"1,100,000",0,24,0,0,29,0,Active,One Greenwich Plaza,1,,,,,
2016,"Triad Construction Services, LLC","285 State Street, Suite 12",North Haven,New Haven,CT,06473,HVAC/Plumbing,238220,Yes Woman,12/04/2015,100000.00,250000.00,350000.00,1750600.00,1400600.00,Small Business Express Program,CGS Sec. 32-7g,25,5,0,0,27,Not Met,"2% to 3% and $9,999",n/a,25,5,0,0,,,Active,"285 State Street, Suite 12",1,"285 State Street, Suite 12
North Haven, CT 06473
(41.374552, -72.883942)",7,1044,168,101
2013,"Willimantic Auto & Truck Supply, Inc.",51 Boston Post Road,Willimantic,Windham,CT,06226,Auto & Truck Parts Retail & Wholesale Sales,441300,No,01/28/2013,25000.00,100000.00,125000.00,476500.00,351500.00,Small Business Express Program,CGS Sec. 32-7g,9,1,0,0,11,Met,n/a,n/a,9,1,0,0,10,12,Active,51 Boston Post Road,1,"51 Boston Post Road
Willimantic, CT 06226
(41.718611, -72.196224)",8,39,207,163
2015,"Creative Dimensions, Inc.",345 McCausland Court,Cheshire,New Haven,CT,06410,Manufacturing,541810,No,01/05/2015,50000.00,300000.00,350000.00,400000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,36,5,0,0,33,Not Met,from 2% to 3%,n/a,36,6,0,0,,,Compliance Complete,345 McCausland Court,1,"345 McCausland Court
Cheshire, CT 06410
(41.548985, -72.878859)",4,1044,63,25
2013,"Innovative Autism Network, LLC",17 Farmington Avenue,Plainville,Hartford,CT,06062,All Other Outpatient Care Centers,621498,No,09/07/2012,23000.00,0.00,23000.00,46000.00,23000.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,3,Met,n/a,n/a,2,3,0,0,,,Active,17 Farmington Avenue,1,"17 Farmington Avenue
Plainville, CT 06062
(41.675286, -72.857966)",1,1041,260,110
2016,"Premier Chevrolet, Inc.",512 Providence Road,Brooklyn,Windham,CT,06234,Automotive,441110,No,04/04/2016,100000.00,0.00,100000.00,500000.00,400000.00,Small Business Express Program,CGS Sec. 32-7g,18,5,0,0,19,Not Met,"$17,391.32",n/a,18,10,0,0,,,Compliance Complete,512 Providence Road,1,"512 Providence Road
Brooklyn, CT 06234
(41.79793, -71.906478)",5,39,37,19
2012,"Ti-Trikes, Inc.",34 Hopmeadow Street,Simsbury,Hartford,CT,06089,Manufacturing,336991,No,04/04/2012,100000.00,250000.00,350000.00,524768.00,174768.00,Small Business Express Program,CGS Sec. 32-7g,0,19,0,0,1,Not Met,Rate increase from 4% to 5%,n/a,0,19,0,0,,,Active,34 Hopmeadow Street,1,,,,,
2019,"Adaptive Prosthetics & Orthotics, LLC",52 National Drive,Glastonbury,Hartford,CT,06033,Healthcare,621399,No,04/24/2019,100000.00,300000.00,400000.00,500000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,8,10,0,0,Pending,Pending,n/a,n/a,8,10,1,0,,,Active,52 National Drive,1,"52 National Drive
Glastonbury, CT 06033
(41.718038, -72.587682)",1,1041,90,54
2015,"Thayer's Marine, Inc.",14 Falls Avenue,Norwich,New London,CT,06360,Marina,441222,No,03/06/2015,80000.00,120000.00,200000.00,480600.00,280600.00,Small Business Express Program,CGS Sec. 32-7g,8,4,1,0,14,Met,n/a,n/a,8,4,0,0,,,Active,14 Falls Avenue,1,"14 Falls Avenue
Norwich, CT 06360
(41.525006, -72.082583)",8,1045,14,104
2015,"Shoreline Wellness Center, Inc.",415 Main Street,West Haven,New Haven,CT,06516,Behavioral Health,624110,Yes Woman,03/02/2015,0.00,33000.00,33000.00,33000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,8,3,0,0,11,Met,n/a,"$   15,000",8,5,0,0,,,Active,415 Main Street,1,"415 Main Street
West Haven, CT 06516
(41.271333, -72.952299)",7,1044,11,156
2014,"Garage Juice Bar, LLC",1 Technology Way,Tolland,Tolland,CT,06084,Clean Energy/Alternative Fuel,336211,No,08/07/2013,83333.00,300000.00,383333.00,466666.00,83333.00,Small Business Express Program,CGS Sec. 32-7g,2,4,0,0,5,Not Met,"from 2% to 3% and $11,905",n/a,2,3,0,0,,,Active,1 Technology Way,1,"1 Technology Way
Tolland, CT 06084
(41.856673, -72.344812)",1,38,255,142
2012,"Pangaro Wealth Management, LLC","475 South Main Street, Suite 1",Cheshire,New Haven,CT,06410,Service,561110,No,06/19/2012,0.00,100000.00,100000.00,100000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,4,1,0,0,Pending,Pending,n/a,n/a,4,1,0,0,,,Compliance Complete,"475 South Main Street, Suite 1",1,"475 South Main Street, Suite 1
Cheshire, CT 06410
(41.490435, -72.904501)",4,1044,63,25
2017,"Regional Energy Holdings, Inc.",535 Connecticut Avenue,Norwalk,Fairfield,CT,06854,Manufacturing,221122,No,12/23/2016,100000.00,8000000.00,8100000.00,29100000.00,21000000.00,Manufacturing Assistance Act/ URA Tax Credits,CH 588l,200,225,,,Pending,Pending,n/a,n/a,200,225,0,0,,,Active,535 Connecticut Avenue,1,"535 Connecticut Avenue
Norwalk, CT 06854
(41.097695, -73.444788)",9,1040,155,103
2018,"Indeed, Inc.",177 Broad Street,Stamford,Fairfield,CT,06901,Manufacturing,561311,No,12/14/2017,0.00,7000000.00,7000000.00,26500000.00,19500000.00,Manufacturing Assistance Act/ URA Tax Credits,CH 588l,700,500,0,0,Pending,Pending,n/a,n/a,700,500,0,0,"1,008",0,Active,177 Broad Street,1,"177 Broad Street
Stamford, CT 06901
(41.055505, -73.540815)",9,1040,203,135
2017,"Bennett & Company, PC",34 Jerome Avenue,Bloomfield,Hartford,CT,06002,CPA,541211,No,05/31/2017,60000.00,0.00,60000.00,120000.00,60000.00,Small Business Express Program,CGS Sec. 32-7g,3,3,0,0,Pending,Pending,n/a,n/a,3,3,4,0,,,Compliance Complete,34 Jerome Avenue,1,"34 Jerome Avenue
Bloomfield, CT 06002
(41.828113, -72.7356)",1,1041,224,11
2015,"S & S Worldwide, Inc.",75 Mill Street,Colchester,New London,CT,06415,Manufacturing,424990,No,02/27/2015,0.00,1500000.00,1500000.00,3040000.00,1540000.00,Manufacturing Assistance Act Revolving Loan Fund,CH 588l,183,40,0,0,234,Met,n/a,"1,000,000",183,40,7,0,,,Active,75 Mill Street,1,"75 Mill Street
Colchester, CT 06415
(41.577191, -72.327692)",8,1045,235,28
2017,Sub Edge Farm,199 Town Farm Road,Farmington,Hartford,CT,06032,Agriculture Farm,541400,No,07/07/2016,16000.00,0.00,16000.00,32000.00,16000.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,Pending,Pending,n/a,n/a,0,1,0,0,,,Active,199 Town Farm Road,1,"199 Town Farm Road
Farmington, CT 06032
(41.755815, -72.827711)",1,1041,254,52
2016,Farrel Corporation,25 Main Street,Ansonia,New Haven,CT,06410,Manufacturing,333249,No,03/04/2016,0.00,1750000.00,1750000.00,11050000.00,9300000.00,Manufacturing Assistance Act,CH 588l,0,84,0,0,85,Met,n/a,"1,750,000",n/a,n/a,n/a,n/a,86,2,Active,25 Main Street,1,"25 Main Street
Ansonia, CT 06410
(41.346302, -73.07961)",4,1044,102,2
2018,"NDR Liuzzi, Inc dba Liuzzi Cheese Manufacturing",86 Rossotto Drive,Hamden,New Haven,CT,06473,Dairy Product Manufacturing,311514,No,06/19/2018,50000.00,300000.00,350000.00,403000.00,53000.00,Small Business Express Program,CGS Sec. 32-7g,65,5,0,0,Pending,Pending,n/a,,65,5,7,0,,,Active,86 Rossotto Drive,1,"86 Rossotto Drive
Hamden, CT 06473
(41.394464, -72.917639)",7,1044,197,62
2014,"Bridgeport Bio Diesel, LLC",146 Andover Street,Bridgeport,Fairfield,CT,06604,Manufacturing,325199,No,04/04/2014,100000.00,250000.00,350000.00,515350.00,165350.00,Manufacturing Assistance Act,CH 588l,2,10,,,Out of Business,Out of Business,Out of Business,out of business,2,10,1,5,,,Active,146 Andover Street,1,"146 Andover Street
Bridgeport, CT 06604
(41.165988, -73.21791)",2,1040,214,15
2013,"Pediatric Associates of Cheshire, P.C.",420 South Main Street,Cheshire,New Haven,CT,06410,Office of Physicans,621111,No,01/02/2013,50000.00,25000.00,75000.00,125000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,7,2,0,0,9,Met,n/a,n/a,7,0,0,0,,,Active,420 South Main Street,1,"420 South Main Street
Cheshire, CT 06410
(41.491946, -72.904181)",4,1044,63,25
2017,"Kleenup Restoration of New England, Inc.",219 Indian Avenue,Bridgeport,Fairfield,CT,06606,Mitigation & Construction,236118/236220,Yes Minority,06/07/2017,100000.00,200000.00,300000.00,400000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,1,5,0,0,Pending,Pending,OOB,OOB,1,5,0,0,,,Out of Business- written off,219 Indian Avenue,1,"219 Indian Avenue
Bridgeport, CT 06606
(41.206697, -73.193836)",2,1040,74,15
2015,"Lucky Lou's Restaurant, LLC",222 Main Street,Wethersfield,Hartford,CT,06109,Restaurant,722110,No,09/16/2014,80000.00,100000.00,180000.00,286000.00,106000.00,Small Business Express Program,CGS Sec. 32-7g,7,5,0,0,11,Not Met,"2% to 3% and $6,666",n/a,6,5,0,0,,,Active,222 Main Street,1,"222 Main Street
Wethersfield, CT 06109
(41.712289, -72.652713)",1,1041,261,159
2013,"D & S Welding & Fabrication, LLC",36 M & S Court,New Britain,Hartford,CT,06051,Fabricating,811310,No,04/03/2013,0.00,98000.00,98000.00,163000.00,65000.00,Small Business Express Program,CGS Sec. 32-7g,2,2,0,0,4,Met,n/a,n/a,,,0,0,,,Active,36 M & S Court,1,,,,,
2013,"Hasapes Enterprises, Inc. dba Moosemeadow Camping Resort","28 Kechkes Road, P. O. Box 38",Willington,Tolland,CT,06279,RV Park,721211,No,02/07/2013,17400.00,0.00,17400.00,34800.00,17400.00,Small Business Express Program,CGS Sec. 32-7g,4,1,0,0,3,Not Met,"$2,000",n/a,4,1,0,0,,,Active,"28 Kechkes Road, P. O. Box 38",1,"28 Kechkes Road, P. O. Box 38
Willington, CT 06279
(41.888582, -72.234144)",1,38,149,160
2018,"Emirhan, LLC dba Alpha Delta Pizza",371 Elm Street,New Haven,New Haven,CT,06511,Food,722513,No,03/19/2018,61200.00,292000.00,353200.00,414400.00,61200.00,Small Business Express Program,CGS Sec. 32-7g,3,4,0,0,Pending,Pending,n/a,n/a,3,4,2,2,,,Active,371 Elm Street,1,"371 Elm Street
New Haven, CT 06511
(41.311869, -72.933257)",7,1044,275,93
2016,"Baobab Asset Management, LLC",3 Greenwich Office Park,Greenwich,Fairfield,CT,06831,Natural Resources & Commodity Trading,523110/525110,No,06/08/2016,100000.00,300000.00,400000.00,1260698.00,860698.00,Small Business Express Program,CGS Sec. 32-7g,0,5,0,0,1,Not Met,"3% to 4% and $80,000",n/a,1,5,0,0,,,Active,3 Greenwich Office Park,1,"3 Greenwich Office Park
Greenwich, CT 06831
(41.018784, -73.648542)",9,1040,215,57
2014,"Northeast Neighborhood Partners, Inc.",410 Asylum Street,Hartford,Hartford,CT,06103,Non-Profit,813319,No,07/18/2013,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,1,5,0,0,2,Not Met,"$2,000",n/a,0,5,0,0,,,Active,410 Asylum Street,1,"410 Asylum Street
Hartford, CT 06103
(41.767713, -72.680562)",1,1041,10,64
2014,"Technolutions, Inc.","234 Church Street, 15th Floor",New Haven,New Haven,CT,06510,Software Development,541519,No,10/08/2013,100000.00,0.00,100000.00,381743.00,281743.00,Small Business Express Program,CGS Sec. 32-7g,17,5,0,0,24,Met,OOB,OOB,17,4,0,0,,,Out of Business- confirmed,"234 Church Street, 15th Floor",1,"234 Church Street, 15th Floor
New Haven, CT 06510
(41.309345, -72.923345)",7,1044,275,93
2013,"Green Life Guides, LLC",315 Whitney Avenue,New Haven,New Haven,CT,06511,Non-Store Retailers,454110,No,09/07/2012,100000.00,0.00,100000.00,400000.00,300000.00,Small Business Express Program,CGS Sec. 32-7g,4,2,0,0,0,Not Met,OOB,OOB,4,9,0,0,,,Active,315 Whitney Avenue,1,"315 Whitney Avenue
New Haven, CT 06511
(41.319128, -72.919069)",7,1044,275,93
2013,William P. Bradley dba Willie's Lawn Care,11 Sprague Hill Road,Eastford,Windham,CT,06242,Landscaping,561730,No,05/21/2013,0.00,34232.00,34232.00,34232.00,0.00,Small Business Express Program,CGS Sec. 32-7g,1,0,0,0,1,Not Met,Loan repaid,n/a,1,0,0,0,,,Active,11 Sprague Hill Road,1,"11 Sprague Hill Road
Eastford, CT 06242
(41.877668, -72.083218)",5,39,256,39
2015,"DASCO Welded Products, Inc.",2038 Thomaston Avenue,Waterbury,New Haven,CT,06704,Metal Fabrication,331200,No,03/18/2015,68000.00,0.00,68000.00,139000.00,71000.00,Small Business Express Program,CGS Sec. 32-7g,7,3,0,0,10,Met,n/a,n/a,7,3,0,0,,,Compliance Complete,2038 Thomaston Avenue,1,"2038 Thomaston Avenue
Waterbury, CT 06704
(41.596758, -73.057492)",4,1044,276,151
2013,"Contorq Components, LLC",433 John Downey Drive,New Britain,Hartford,CT,06051,Metal Stamping and Cold Heading,332116,No,05/28/2013,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,15,5,0,0,23,Met,n/a,n/a,15,5,0,0,,,Out of Business- Loan repaid in full,433 John Downey Drive,1,"433 John Downey Drive
New Britain, CT 06051
(41.66593, -72.755167)",1,1041,17,89
2020,Steps to Literacy LLC,4 East Street,Bound Brook,,NJ,08805,Distribution/Manufacturing,611699,No,02/11/2020,0.00,300000.00,300000.00,300000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,0,12,0,0,Pending,Pending,n/a,n/a,0,12,0,0,,,,4 East Street,1,"4 East Street
Bound Brook, NJ 08805
(40.561721, -74.528518)",,490,,
2014,"Skungamaug Clubs, Inc.",104 Folly Lane,Coventry,Tolland,CT,06238,Public Golf Course,713910,No,10/10/2013,20000.00,0.00,20000.00,42725.00,22725.00,Small Business Express Program,CGS Sec. 32-7g,4,1,0,0,5,Met,n/a,n/a,4,1,0,0,,,Compliance Complete,104 Folly Lane,1,"104 Folly Lane
Coventry, CT 06238
(41.825514, -72.348038)",1,38,145,32
2019,"County Line Septic, LLC",7 River Road,Willington,Tolland,CT,06279,Septic Services,562991,No,06/05/2019,20000.00,159021.00,179021.00,231021.00,52000.00,Small Business Express Program,CGS Sec. 32-7g,2,0,5,2,Pending,Pending,OOB,OOB,,,,,,,Out of Business- not written off,7 River Road,1,"7 River Road
Willington, CT 06279
(41.836942, -72.307542)",1,38,149,160
2016,"HQ Dumpsters and Recycling, LLC",897 South Main Street,Plantsville,Hartford,CT,06479,Trash & Recycling Service,562111,No,05/24/2016,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,10,5,0,0,Pending,Pending,n/a,n/a,10,5,0,0,,,Compliance Complete,897 South Main Street,1,"897 South Main Street
Plantsville, CT 06479
(41.583199, -72.892796)",1,1041,185,131
2013,"Relihan Landscape Construction Company, Inc.",924 Baldwin Road,Woodbridge,New Haven,CT,06525,Landscaping Services,561730,No,04/07/2013,50000.00,200000.00,250000.00,458502.00,208502.00,Small Business Express Program,CGS Sec. 32-7g,7,2,0,0,9,Met,n/a,n/a,7,2,0,0,,,Active,924 Baldwin Road,1,"924 Baldwin Road
Woodbridge, CT 06525
(41.325009, -73.03562)",7,1044,61,167
2019,"EZ Welding, LLC",47 Saint Clair Avenue,New Britain,Hartford,CT,06052,Welding Repair Services,811310,No,06/04/2019,45000.00,,45000.00,255000.00,210000.00,Small Business Express Program,CGS Sec. 32-7g,4,2,0,0,Pending,Pending,n/a,n/a,4,2,0,0,6,0,Active,47 Saint Clair Avenue,1,"47 Saint Clair Avenue
New Britain, CT 06052
(41.685425, -72.75919)",1,1041,17,89
2015,Joseph Cunningham dba Cunningham Construction,410 Rattlesnake Ledge,Salem,New London,CT,06420,Construction Site Work,238910,No,11/19/2014,20000.00,135000.00,155000.00,214000.00,59000.00,Small Business Express Program,CGS Sec. 32-7g,2,1,0,0,3,Met,n/a,n/a,2,1,0,0,,,Active,410 Rattlesnake Ledge,1,"410 Rattlesnake Ledge
Salem, CT 06420
(41.509864, -72.255802)",8,1045,98,121
2015,American Woolen Company. Inc.,8 Furnace Avenue,Stafford Springs,Tolland,CT,06076,Broadwoven Fabric Mill,313210,No,09/19/2014,100000.00,300000.00,400000.00,4000000.00,3600000.00,Small Business Express Program,CGS Sec. 32-7g,0,38,0,0,41,Met,n/a,"$   150,000",0,38,0,0,,,Compliance Complete,8 Furnace Avenue,1,"8 Furnace Avenue
Stafford Springs, CT 06076
(41.956439, -72.302198)",1,38,34,134
